2,1,0.53,9.236,8.179
2,1,0,0,0
2,1,0.685,3.954,6.954
2,1,0.275,12.54,4.591
0,0,0,0,0
0,0,0,0,0
2,2,0,0,0
2,2,0.172,4,5.752
2,2,0.454,2.204,6.66
2,2,0.238,3.579,4.571
2,2,0,0,0
2,2,0.291,1.838,1.43
2,2,0.173,7.201,12.505
2,2,0.242,2.533,4.087
2,2,0.152,1.697,12.857
