instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,text_2.started,text_2.stopped,text.started,text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,one_4.started,one_4.stopped,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,mouse_6.started,mouse_6.stopped,two_4.started,two_4.stopped,three_4.started,three_4.stopped,seven_4.started,seven_4.stopped,eight_4.started,eight_4.stopped,nine_4.started,nine_4.stopped,four_4.started,four_4.stopped,five_4.started,five_4.stopped,six_4.started,six_4.stopped,ten_4.started,ten_4.stopped,eleven_4.started,eleven_4.stopped,twelve_4.started,twelve_4.stopped,gram13_4.started,gram13_4.stopped,gram14_4.started,gram14_4.stopped,gram15_4.started,gram15_4.stopped,gram16_4.started,gram16_4.stopped,gram17_4.started,gram17_4.stopped,gram18_4.started,gram18_4.stopped,gram19_4.started,gram19_4.stopped,gram20_4.started,gram20_4.stopped,gram21_4.started,gram21_4.stopped,gram22_4.started,gram22_4.stopped,gram23_4.started,gram23_4.stopped,gram24_4.started,gram24_4.stopped,easy_succ_4.started,easy_succ_4.stopped,one_5.started,one_5.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,mouse_7.started,mouse_7.stopped,two_5.started,two_5.stopped,three_5.started,three_5.stopped,seven_5.started,seven_5.stopped,eight_5.started,eight_5.stopped,nine_5.started,nine_5.stopped,four_5.started,four_5.stopped,five_5.started,five_5.stopped,six_5.started,six_5.stopped,ten_5.started,ten_5.stopped,eleven_5.started,eleven_5.stopped,twelve_5.started,twelve_5.stopped,gram13_5.started,gram13_5.stopped,gram14_5.started,gram14_5.stopped,gram15_5.started,gram15_5.stopped,gram16_5.started,gram16_5.stopped,gram17_5.started,gram17_5.stopped,gram18_5.started,gram18_5.stopped,gram19_5.started,gram19_5.stopped,gram20_5.started,gram20_5.stopped,gram21_5.started,gram21_5.stopped,gram22_5.started,gram22_5.stopped,gram23_5.started,gram23_5.stopped,gram24_5.started,gram24_5.stopped,easy_succ_5.started,easy_succ_5.stopped,one_6.started,one_6.stopped,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,mouse_8.started,mouse_8.stopped,two_6.started,two_6.stopped,three_6.started,three_6.stopped,seven_6.started,seven_6.stopped,eight_6.started,eight_6.stopped,nine_6.started,nine_6.stopped,four_6.started,four_6.stopped,five_6.started,five_6.stopped,six_6.started,six_6.stopped,ten_6.started,ten_6.stopped,eleven_6.started,eleven_6.stopped,twelve_6.started,twelve_6.stopped,gram13_6.started,gram13_6.stopped,gram14_6.started,gram14_6.stopped,gram15_6.started,gram15_6.stopped,gram16_6.started,gram16_6.stopped,gram17_6.started,gram17_6.stopped,gram18_6.started,gram18_6.stopped,gram19_6.started,gram19_6.stopped,gram20_6.started,gram20_6.stopped,gram21_6.started,gram21_6.stopped,gram22_6.started,gram22_6.stopped,gram23_6.started,gram23_6.stopped,gram24_6.started,gram24_6.stopped,easy_succ_6.started,easy_succ_6.stopped,call_exp_text.started,call_exp_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,TIPI_txt.started,TIPI_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15.475445399992168,None,-0.03796296296296296,-0.4425925925925926,1,0,0,text_2,0.014318840112537146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,15.475445399992168,None,24.188826199999312,None,0.016666666666666666,-0.12037037037037036,1,0,0,0.014257739938329905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,,,,,,,,,,,,25.068476399988867,None,-0.27314814814814814,0.0,1,0,0,easy_succ,0.01157244000933133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.068476399988867,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,25.086457500001416,None,26.938070200005313,None,-0.27314814814814814,0.0,1,0,0,easy_succ,0.012292139988858253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,26.938070200005313,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.063386099995114,None,27.548655799997505,None,-0.27314814814814814,0.0,1,0,0,easy_succ,0.011632540001301095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.548655799997505,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.63460990000749,None,27.72621620001155,None,y,0.968399400007911,27.72621620001155,None,,,1,001,2019_Nov_06_0247,tg_main,3.2.4,59.77750811861986,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.743273900006898,None,,,,,,,
