instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,text_2.started,text_2.stopped,text.started,text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,one.started,one.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,two.started,two.stopped,three.started,three.stopped,seven.started,seven.stopped,eight.started,eight.stopped,nine.started,nine.stopped,four.started,four.stopped,five.started,five.stopped,six.started,six.stopped,ten.started,ten.stopped,eleven.started,eleven.stopped,twelve.started,twelve.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10.68441598478239,None,0.009259259259259259,-0.44814814814814813,1,0,0,text_2,0.006321829627268016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_02_1659,tg_main,3.2.4,59.95027492316682,
,,,,,,,,,,10.68441598478239,None,11.480734025244601,None,0.008333333333333333,-0.37037037037037035,1,0,0,0.005016344133764505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_02_1659,tg_main,3.2.4,59.95027492316682,
,,,,,,,,,,,,,,,,,,,,,12.611906037782319,None,-0.7157407407407408,0.3435185185185185,1,0,0,one,0.013567874673753977,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_02_1659,tg_main,3.2.4,59.95027492316682,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,12.611906037782319,None,,,,,,,
