instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,text_2.started,text_2.stopped,text.started,text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,one_7.started,one_7.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,mouse_9.started,mouse_9.stopped,two_7.started,two_7.stopped,three_7.started,three_7.stopped,seven_7.started,seven_7.stopped,eight_7.started,eight_7.stopped,nine_7.started,nine_7.stopped,four_7.started,four_7.stopped,five_7.started,five_7.stopped,six_7.started,six_7.stopped,ten_7.started,ten_7.stopped,eleven_7.started,eleven_7.stopped,twelve_7.started,twelve_7.stopped,gram01_4.started,gram01_4.stopped,gram02_4.started,gram02_4.stopped,gram03_4.started,gram03_4.stopped,gram04_4.started,gram04_4.stopped,gram05_4.started,gram05_4.stopped,gram06_4.started,gram06_4.stopped,gram07_4.started,gram07_4.stopped,gram08_4.started,gram08_4.stopped,gram09_4.started,gram09_4.stopped,gram10_4.started,gram10_4.stopped,gram11_4.started,gram11_4.stopped,gram12_4.started,gram12_4.stopped,easy_succ_7.started,easy_succ_7.stopped,one_8.started,one_8.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_10.started,mouse_10.stopped,two_8.started,two_8.stopped,three_8.started,three_8.stopped,seven_8.started,seven_8.stopped,eight_8.started,eight_8.stopped,nine_8.started,nine_8.stopped,four_8.started,four_8.stopped,five_8.started,five_8.stopped,six_8.started,six_8.stopped,ten_8.started,ten_8.stopped,eleven_8.started,eleven_8.stopped,twelve_8.started,twelve_8.stopped,gram01_5.started,gram01_5.stopped,gram02_5.started,gram02_5.stopped,gram03_5.started,gram03_5.stopped,gram04_5.started,gram04_5.stopped,gram05_5.started,gram05_5.stopped,gram06_5.started,gram06_5.stopped,gram07_5.started,gram07_5.stopped,gram08_5.started,gram08_5.stopped,gram09_5.started,gram09_5.stopped,gram10_5.started,gram10_5.stopped,gram11_5.started,gram11_5.stopped,gram12_5.started,gram12_5.stopped,easy_succ_8.started,easy_succ_8.stopped,one_9.started,one_9.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_11.started,mouse_11.stopped,two_9.started,two_9.stopped,three_9.started,three_9.stopped,seven_9.started,seven_9.stopped,eight_9.started,eight_9.stopped,nine_9.started,nine_9.stopped,four_9.started,four_9.stopped,five_9.started,five_9.stopped,six_9.started,six_9.stopped,ten_9.started,ten_9.stopped,eleven_9.started,eleven_9.stopped,twelve_9.started,twelve_9.stopped,gram01_6.started,gram01_6.stopped,gram02_6.started,gram02_6.stopped,gram03_6.started,gram03_6.stopped,gram04_6.started,gram04_6.stopped,gram05_6.started,gram05_6.stopped,gram06_6.started,gram06_6.stopped,gram07_6.started,gram07_6.stopped,gram08_6.started,gram08_6.stopped,gram09_6.started,gram09_6.stopped,gram10_6.started,gram10_6.stopped,gram11_6.started,gram11_6.stopped,gram12_6.started,gram12_6.stopped,easy_succ_9.started,easy_succ_9.stopped,call_exp_text.started,call_exp_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15.654292999999598,None,-0.017592592592592594,-0.475,1,0,0,text_2,0.014195519499480724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
,,,,,,,,,,15.654292999999598,None,16.398543099989183,None,-0.04814814814814815,-0.009259259259259259,1,0,0,0.010727019980549812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
,,,,,,,,,,,,,,,,,,,,,18.121072899957653,None,-0.08518518518518518,-0.020370370370370372,1,0,0,continue_text,0.01410531997680664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,18.121072899957653,None,20.45993049995741,None,-0.049074074074074076,-0.012962962962962963,1,0,0,continue_text,0.004056019999552518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,20.45993049995741,None,21.437833599979058,None,-0.049074074074074076,-0.012962962962962963,1,0,0,continue_text,0.00046322005800902843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.437833599979058,None,21.829309900000226,None,y,0.9970181999960914,21.829309900000226,None,05,001,2019_Nov_06_1927,tg_dr_set1,3.2.4,60.14802428755522,
