this_trial,tangram_set,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,text_2.started,text_2.stopped,text.started,text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,one.started,one.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,two.started,two.stopped,three.started,three.stopped,seven.started,seven.stopped,eight.started,eight.stopped,nine.started,nine.stopped,four.started,four.stopped,five.started,five.stopped,six.started,six.stopped,ten.started,ten.stopped,eleven.started,eleven.stopped,twelve.started,twelve.stopped,gram01.started,gram01.stopped,gram02.started,gram02.stopped,gram03.started,gram03.stopped,gram04.started,gram04.stopped,gram05.started,gram05.stopped,gram06.started,gram06.stopped,gram07.started,gram07.stopped,gram08.started,gram08.stopped,gram09.started,gram09.stopped,gram10.started,gram10.stopped,gram11.started,gram11.stopped,gram12.started,gram12.stopped,easy_succ.started,easy_succ.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,9.494136199999048,None,-0.10092592592592593,-0.42592592592592593,1,0,0,text_2,0.009076520000235178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
,,,,,,,,,,,,,,,,9.494136199999048,None,10.447013299999526,None,0.06574074074074074,-0.05462962962962963,1,0,0,0.00836984000125085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,12.24887779999699,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.008026999999856343,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.24887779999699,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,12.47606149999774,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,13.328178299998399,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.004031380001833895,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.328178299998399,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,13.346062599997822,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
3,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,13.805300299998635,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.013339580003957963,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.805300299998635,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,13.829901199998858,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
4,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,14.256296499999735,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.013024379997659707,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.256296499999735,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,14.275433699996938,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
5,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,15.049436599998444,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.012657779996516183,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.049436599998444,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,15.068509699998685,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
6,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,15.435658899998089,None,-0.38055555555555554,-0.003703703703703704,1,0,0,easy_succ,0.006319939999229973,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.435658899998089,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,15.448835599996528,None,1,001,2019_Nov_03_1907,tg_main,3.2.4,59.77475676134279,
