instruction_text.started,instruction_text.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
39.95707907655742,None,-0.10277777777777777,0.10740740740740741,1,0,0,0.007956132059916854,None,,,1,001,2019_Nov_02_1338,tg_main,3.2.4,60.01167584598347,
,,,,,,,,,53.48213633522391,None,,,,,,,
